optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
AdamW,False,-5.0,Adam,-5.0,-3.0,,,,,,,0.9478155339805824,0.2451950908524411,0.99,0.9888,0.0111999999999999,0.5631242045331172,0.75,0.9907095147451188,0.875,0.5008090614886731,0.822345629087184,0.044413592728204,0.822345629087184,0.1782720490791211,0.4285714285714285,cn,catsdogs,19.0,5140.381830692291,VGG,,,,,,,,,,,,,,,,0.0011999999999999,0.0187999999999999,,0.1400934535612477,0.1400934535612477,False,,,,,
Adam,False,-4.0,AdamW,-7.0,-3.0,,,,,,,0.910912765240822,0.2987786733006256,0.99,0.9896666666666668,0.0103333333333333,1.3197711854243157,0.4354838709677419,0.9963781529981536,-1.0,,,,,,,cn,cifar10,17.0,5521.560935974121,VGG,,,,,,,,,,,,,,,,0.0003333333333331,0.0058333333333333,,0.172103467896704,0.172103467896704,True,,,,,
Adam,False,-5.0,Adam,-5.0,-4.0,2.0,448.0,0.1,1.0,0.35,2.0,0.9654980426272292,0.0969620717150582,0.99,0.9892086330935252,0.0107913669064748,0.9542489800050562,0.5247208931419458,0.9978963190032109,0.9326779760039628,,,,,,,cn,covtype,16.0,50014.52559709549,TabFTTransformer,,,,,,,,,0.15,,,,,,,0.0007913669064747,0.0019052700423393,,0.0578887872299361,0.0578887872299361,,,,,,
SGD,True,-3.0,Adam,-6.0,-3.0,,,,,,,0.7307423319012888,1.032170929436818,0.99,0.990990099009901,0.009009900990099,3.543277519417446,0.2087912087912088,0.9958297359453098,-1.0,,,,,,,cn,food101,11.0,63355.26549577713,Resnet34,,,,,,,,,,0.99,True,,,,,0.0009900990099009,0.0069306930693069,,0.8285584246452743,0.8285584246452743,,,,,,False
Adam,False,-4.0,SGD,-5.0,-3.0,,,,,,,0.9517241379310344,0.1410446196925147,0.99,0.9863945578231292,0.0136054421768707,4.457662161567989e-05,1.0,0.9935498374489868,-1.0,0.6731034482758621,0.8355955500221671,0.0361775936274939,0.6526957693683761,8.536187934282679e-09,1.0,cn,oxfordpets,17.0,5214.343144893646,Resnet34,,,,,,,,,,,,,,0.97,False,0.0036054421768707,0.0074829931972789,,0.0959648940871359,0.0959648940871359,,,,,,False
Adam,False,-4.0,AdamW,-8.0,-4.0,,,,,,,0.8894601542416453,0.2632407555199901,0.99,0.989821882951654,0.010178117048346,0.734001850609613,0.6666666666666666,0.9341036037551732,0.7037037037037037,0.2253641816623821,0.5402725719700585,0.0802571567012056,0.5732769291482167,0.239115027186564,0.25,cn,waterbirds,4.0,14788.128086566923,Resnet50,,,,,,,,,,,,,,,,0.000178117048346,0.0282442748091602,,0.1921585722288654,0.1921585722288654,,,,,,True
Adam,True,-5.0,AdamW,-6.0,-5.0,4.0,64.0,0.5,0.0,0.0,2.333333333333333,0.8565153733528551,0.3093479331482713,0.99,0.9787103377686796,0.0212896622313203,0.5799944800912648,0.7307692307692307,0.914055532548083,0.5667293233082706,0.2386530014641288,0.457690572352101,0.098536599840721,0.5014437144284976,0.1958305006390261,0.2692307692307692,cn,adult,3.0,2516.3166556358337,TabFTTransformer,,,,,,,,,,,,,,,,0.0112896622313204,0.0127942681678607,,0.2509562912830672,0.2509562912830672,,,,,,
Adam,False,-5.0,AdamW,-5.0,-4.0,4.0,512.0,,,,,0.961581604038138,0.1577875631256493,0.99,0.9905555555555556,0.0094444444444444,0.8732181283324668,0.7549019607843137,0.9999837925381808,-1.0,,,,,,,cn,aloi,7.0,3551.662882566452,TabResnet,,,,,192.0,2.0,0.15,0.15,,,,,,,,0.0005555555555556,0.0113888888888888,,0.1404809879207675,0.1404809879207675,,,,,,
Adam,True,-3.0,Adam,-4.0,-3.0,3.0,64.0,,,,,0.9154139555754992,0.178048946439158,0.99,0.9858438398584384,0.0141561601415616,0.6378262856940851,0.6875,0.9448209202639742,0.715686274509804,0.1119587166255328,0.4402488153935157,0.0556667525890588,0.8506675927228975,0.2233692393085653,0.46875,cn,bank,15.0,1648.458334684372,TabResnet,,,,,128.0,2.0,0.4,0.45,,,,,,,,0.0041561601415616,0.0041561601415616,,0.1056638585166308,0.1056638585166308,,,,,,
Adam,True,-5.0,AdamW,-6.0,-3.0,2.0,64.0,0.4,0.0,0.15,2.0,0.7197106690777577,0.5675270039743824,0.99,0.9963963963963964,0.0036036036036035,0.6586594025287803,0.5,0.7847617248245091,0.7777777777777778,0.5003013863773358,0.2418622417875513,0.1895344185705908,0.2418623333218087,0.2329602896081049,0.5,cn,compass,13.0,926.3668782711028,TabFTTransformer,,,,,,,,,,,,,,,,0.0063963963963964,0.0237237237237236,,0.5461093831655858,0.5461093831655858,,,,,,
