optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
SGD,False,-4.0,,,-3.0,1.0,320.0,0.3,1.0,0.0,2.6666666666666665,0.7616763969974979,0.5481906999400303,0.99,0.9817809621289664,0.0182190378710337,0.6087744013450958,0.7078651685393258,0.6042772404612851,0.2985347985347985,0.238323603002502,0.0019485619322819,0.1811726224969278,0.1355770993691493,0.208635788991008,0.2921348314606741,dg,adult,1.0,339.5542542934418,TabFTTransformer,,,,,,,,,0.0,0.92,False,,1.0,,,0.0082190378710336,0.0387410440122825,0.5021985614137097,0.5021985614137097,,,,,,,
SGD,False,-4.0,,,-2.0,4.0,128.0,,,,,0.9608301392913902,0.1546615255524817,0.99,0.990462962962963,0.009537037037037,1.7918554677388288,0.5728155339805825,0.9999837569699046,-1.0,,,,,,,dg,aloi,16.0,594.5251564979553,TabResnet,,,,,192.0,2.0,0.2,0.4,,0.96,True,,748.4000000000001,,,0.0004629629629629,0.0045370370370371,0.1027384307853865,0.1027384307853865,,,,,,,
SGD,True,-3.0,,,-1.0,4.0,64.0,,,,,0.8884916201117319,0.2830048275804415,0.99,0.9898252598982528,0.0101747401017473,1.138753538432827,0.3478260869565217,0.917400192739604,0.4833333333333334,0.1115083798882681,0.1275378255098397,0.0864645954332244,0.8315461220465138,0.434201201678115,0.6521739130434783,dg,bank,4.0,522.0635375976562,TabResnet,,,,,192.0,1.0,0.45,0.3,,0.9,False,,1.2,,,0.0001747401017472,0.0061601415616013,0.1634292244127054,0.1634292244127054,,,,,,,
SGD,False,-3.0,,,-2.0,,,,,,,0.9644874899112188,0.1760985806188758,0.99,0.9912,0.0088,0.8848083276410104,0.4545454545454545,0.9937366133545956,0.4017857142857143,0.4987893462469733,0.8691139389838707,0.0327215152540323,0.8691139389838707,0.3223067510110122,0.6363636363636364,dg,catsdogs,8.0,3080.6990971565247,VGG,,,,,,,,,,0.91,True,,1.4,,,0.0011999999999999,0.0139999999999999,0.075455061213245,0.075455061213245,True,,,,,,
SGD,False,-3.0,,,-2.0,,,,,,,0.91060325995631,0.2894493517177237,0.99,0.9918333333333332,0.0081666666666666,1.7665620822164596,0.3469387755102041,0.996706926481292,0.8427664086754998,,,,,,,dg,cifar10,8.0,1888.3425211906435,VGG,,,,,,,,,,0.91,True,,5.2,,,0.0018333333333332,0.004,0.1655531690612964,0.1655531690612964,True,,,,,,
Adam,False,-4.0,,,-4.0,1.0,64.0,0.2,0.0,0.45,1.3333333333333333,0.6982392228293868,0.5844021312417584,0.99,0.9891891891891892,0.0108108108108108,0.6518365082528839,0.5555555555555556,0.7693620121156354,0.5892857142857143,0.4972677595628415,0.2109269893782388,0.1972684705516493,0.2108383093519183,0.2314333071790353,0.7777777777777778,dg,compass,15.0,226.37010955810547,TabFTTransformer,,,,,,,,,,,,,2.0,,,0.0008108108108108,0.016066066066066,0.5720014256882878,0.5720014256882878,,,,,,,
Adam,False,-4.0,,,-4.0,2.0,512.0,0.15,1.0,0.1,1.6666666666666663,0.9654471191448684,0.0946541880999646,0.99,0.99024129978314,0.0097587002168599,0.6191426052656338,0.7354497354497355,0.998578094437693,0.9749192485343424,,,,,,,dg,covtype,11.0,19292.23489665985,TabFTTransformer,,,,,,,,,0.2,,,,4.2,,,0.00024129978314,0.0026608378369075,0.0597870372292749,0.0597870372292749,,,,,,,
Adam,False,-6.0,,,-3.0,,,,,,,0.5403459654034597,3.614649330559839,0.99,0.9901980198019802,0.0098019801980198,14.870196634918488,0.0404040404040404,0.9784355130747644,-1.0,,,,,,,dg,food101,3.0,96265.20702242853,Resnet34,,,,,,,,,,,,,31.4,,,0.0001980198019801,0.004059405940594,2.514162133659329,2.514162133659329,,,,,,True,
AdamW,True,-4.0,,,-5.0,1.0,384.0,,,,,0.9392268907563024,0.1878447273486971,0.99,0.9916666666666668,0.0083333333333333,1.6853211037511402,0.52,0.8070042890914924,0.6244155844155844,0.0637310924369747,0.1689014269734461,0.0495991850898168,0.8713892057185344,0.2988339354305384,0.44,dg,giveme,16.0,656.0509405136108,TabResnet,,,,,512.0,4.0,0.4,0.3,,,,,2.0,,,0.0016666666666668,0.0031333333333333,0.1421892291461421,0.1421892291461421,,,,,,,
AdamW,True,-4.0,,,-4.0,1.0,384.0,,,,,0.3790859798605732,2.555132175762243,0.99,0.9900306748466258,0.0099693251533742,4.294364649103389,0.0923076923076923,0.9250769911432822,-1.0,,,,,,,dg,helena,5.0,307.0029056072235,TabResnet,,,,,448.0,3.0,0.4,0.25,,,,,89.0,,,3.06748466257778e-05,0.0088957055214723,2.3496283963324758,2.3496283963324758,,,,,,,
