optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
SGD,False,-4.0,,,-3.0,4.0,128.0,0.25,0.0,0.3,1.0,0.8584144069550818,0.304979915208697,0.99,0.9889457523029682,0.0110542476970317,0.6968046234862089,0.3518518518518518,0.9144086554929544,0.4180451127819549,0.2380459532187953,0.4590382218591685,0.0981204849017952,0.5924032753914867,0.2518285858256803,0.3518518518518518,plugin,adult,1.0,689.1895561218262,TabFTTransformer,,,,,,,,,,0.91,False,,,,,0.0010542476970317,0.0312180143295802,0.2278854920749013,0.2278854920749013,,,,,,,
AdamW,False,-6.0,,,-5.0,4.0,192.0,,,,,0.9640314724615962,0.1390877200287955,0.99,0.9885185185185184,0.0114814814814815,2.145506101852808,0.3548387096774194,0.9999854507359056,-1.0,,,,,,,plugin,aloi,12.0,655.0254254341125,TabResnet,,,,,320.0,4.0,0.1,0.2,,,,,,,,0.0014814814814816,0.0068518518518518,0.0554913900812496,0.0554913900812496,,,,,,,
AdamW,True,-4.0,,,-3.0,4.0,256.0,,,,,0.9142091152815014,0.1831940068355529,0.99,0.9900464499004644,0.0099535500995354,0.6924256780054749,0.5111111111111111,0.9435817191223438,0.5566801619433197,0.113941018766756,0.4304656780305895,0.0575045442329376,0.8294281171714409,0.2496396554518117,0.4222222222222222,plugin,bank,6.0,707.3249435424805,TabResnet,,,,,64.0,3.0,0.4,0.3,,,,,,,,4.6449900464429206e-05,0.0063813315638132,0.1081220861016272,0.1081220861016272,,,,,,,
Adam,False,-4.0,,,-3.0,,,,,,,0.927536231884058,0.2033514911897024,0.99,0.9936,0.0063999999999999,0.6739501366045937,0.6875,0.9899724807219192,0.7272727272727273,0.4987922705314009,0.7759028303466191,0.0560242924133452,0.7759028303466191,0.2404145841775535,0.6875,plugin,catsdogs,18.0,1975.5297675132751,VGG,,,,,,,,,,,,,,,,0.0036,0.0103999999999999,0.1206285718749335,0.1206285718749335,False,,,,,,
Adam,False,-4.0,,,-3.0,,,,,,,0.9123398516520568,0.2954410808973407,0.99,0.9886666666666668,0.0113333333333333,1.520700869329123,0.3529411764705882,0.9963546418703072,0.9159295765962436,,,,,,,plugin,cifar10,5.0,2479.5566322803497,VGG,,,,,,,,,,,,,,,,0.0013333333333331,0.0054999999999999,0.1730632916738426,0.1730632916738426,True,,,,,,
Adam,False,-6.0,,,-3.0,1.0,320.0,0.1,1.0,0.25,2.0,0.7136803874092009,0.570399078835897,0.99,0.9921921921921922,0.0078078078078077,0.6941958272508704,0.3846153846153846,0.778809469020193,0.4,0.49818401937046,0.2343678727616047,0.1914081729756148,0.2342847302549984,0.2505243165640855,0.7692307692307693,plugin,compass,16.0,216.0790934562683,TabFTTransformer,,,,,,,,,0.1,,,,,,,0.0021921921921922,0.0285285285285286,0.5503801705098715,0.5503801705098715,,,,,,,
Adam,False,-5.0,,,-4.0,3.0,384.0,0.45,0.0,0.35,2.333333333333333,0.9607515657620042,0.1321889370670332,0.99,0.9892946886509932,0.0107053113490068,0.7793643607566187,0.5369774919614148,0.9970750041260872,0.961594955163876,,,,,,,plugin,covtype,5.0,21243.253211021423,TabFTTransformer,,,,,,,,,,,,,,,,0.0007053113490067,0.0032408522942412,0.0762180458607919,0.0762180458607919,,,,,,,
Adam,True,-4.0,,,-3.0,,,,,,,0.7405924739791834,1.0444533353948489,0.99,0.9893069306930692,0.0106930693069307,3.725119763142831,0.0833333333333333,0.995963030116674,-1.0,,,,,,,plugin,food101,19.0,46295.791338682175,Resnet34,,,,,,,,,,,,,,,,0.0006930693069308,0.0034653465346534,0.7857451116138975,0.7857451116138975,,,,,,False,
AdamW,True,-5.0,,,-4.0,3.0,64.0,,,,,0.9410496530351008,0.1826966801929361,0.99,0.9895333333333334,0.0104666666666666,0.6868089630513414,0.554140127388535,0.8238338367331972,0.6211331813741451,0.0625884255204473,0.1735807725533591,0.0485018285762111,0.8825058724424928,0.2468339951880318,0.4713375796178344,plugin,giveme,15.0,804.8803594112396,TabResnet,,,,,256.0,2.0,0.3,0.4,,,,,,,,0.0004666666666666,0.0014,0.1377329432852668,0.1377329432852668,,,,,,,
AdamW,False,-6.0,,,-5.0,3.0,192.0,,,,,0.3850093109869646,2.5200469257182028,0.99,0.9883435582822084,0.0116564417177914,3.986629929341349,0.0657894736842105,0.9255088938189044,-1.0,,,,,,,plugin,helena,7.0,376.4630720615387,TabResnet,,,,,320.0,4.0,0.1,0.2,,,,,,,,0.0016564417177915,0.0016564417177915,2.296136139522808,2.296136139522808,,,,,,,
SGD,False,-4.0,,,-4.0,4.0,128.0,0.3,0.0,0.3,1.0,0.7041123370110332,0.5760870034821856,0.99,0.997,0.003,0.6956302642427875,0.0,0.7734867325011469,0.0,0.5005015045135406,0.2223501839501006,0.1944124540124748,0.2223501839501006,0.251241546326308,0.3333333333333333,plugin,heloc,16.0,285.91032457351685,TabFTTransformer,,,,,,,,,,0.93,True,,,,,0.007,0.018,0.5549250491596315,0.5549250491596315,,,,,,,
Adam,False,-6.0,,,-5.0,2.0,384.0,0.2,1.0,0.15,2.0,0.7250231982678627,0.5387782723704372,0.99,0.9891891891891892,0.0108108108108108,0.6940434992431904,0.4528301886792453,0.8057035522477344,0.4282133906194056,0.5293329209196824,0.2732617361918273,0.1810596932522223,0.2842696012681176,0.2504481484878836,0.4622641509433962,plugin,higgs,10.0,1366.5334322452543,TabFTTransformer,,,,,,,,,0.0,,,,,,,0.0008108108108108,0.0064762876083631,0.5110783318198541,0.5110783318198541,,,,,,,
Adam,False,-6.0,,,-5.0,2.0,320.0,0.2,1.0,0.15,2.0,0.8562874251497006,0.3339191020421283,0.99,0.9903632320237212,0.0096367679762787,0.6874199059079966,0.6153846153846154,0.9370583766412756,0.7250000000000001,0.500748502994012,0.6024139137661206,0.0993965215584698,0.6024139137661206,0.2471368093582118,0.3846153846153846,plugin,house,13.0,288.60829401016235,TabFTTransformer,,,,,,,,,0.1,,,,,,,0.0003632320237212,0.0061527057079318,0.2722358472197004,0.2722358472197004,,,,,,,
AdamW,True,-4.0,,,-3.0,4.0,256.0,,,,,0.9701657458563536,0.1004218186144294,0.99,0.989071038251366,0.0109289617486338,0.8980493299335292,0.8,0.9995176655758796,-1.0,,,,,,,plugin,indian,6.0,132.40885305404663,TabResnet,,,,,64.0,3.0,0.4,0.3,,,,,,,,0.0009289617486339,0.0092896174863388,0.0441066666030122,0.0441066666030122,,,,,,,
Adam,False,-6.0,,,-5.0,2.0,384.0,0.25,1.0,0.2,2.0,0.7858773932900053,0.461115674409896,0.99,0.9887113581104552,0.0112886418895449,0.6939182471208967,0.4923076923076923,0.8657259659993122,0.4633204633204633,0.4992095555945898,0.4026419226594403,0.1493395193351399,0.4026419226594403,0.2503854752088655,0.5692307692307692,plugin,jannis,14.0,1342.4869441986084,TabFTTransformer,,,,,,,,,0.15,,,,,,,0.0012886418895448,0.0069989579715178,0.4189390241666734,0.4189390241666734,,,,,,,
Adam,False,-5.0,,,-4.0,3.0,384.0,0.45,0.0,0.35,2.333333333333333,0.9728915662650602,0.1095323686268622,0.99,0.996,0.004,1.3240073335463785,0.25,0.9998834051758292,-1.0,,,,,,,plugin,letter,5.0,572.0001776218414,TabFTTransformer,,,,,,,,,,,,,,,,0.006,0.0064999999999999,0.0385610869468641,0.0385610869468641,,,,,,,
AdamW,True,-4.0,,,-3.0,4.0,256.0,,,,,0.9378976486860304,0.1695823894035026,0.99,0.9904109589041096,0.0095890410958904,0.6962146102779891,0.4428571428571428,0.9809072004805548,0.4440816326530612,0.5,0.8074829252271557,0.048129268693211,0.8074829252271557,0.2515330583647885,0.5,plugin,miniboone,6.0,483.9314777851105,TabResnet,,,,,64.0,3.0,0.4,0.3,,,,,,,,0.0004109589041095,0.0038356164383561,0.1100018510134989,0.1100018510134989,,,,,,,
Adam,False,-4.0,,,-4.0,,,,,,,0.9963945774444763,0.0273513454996244,0.99,0.9905714285714284,0.0094285714285714,1.3766840509647815,0.5,0.9999607959691807,0.9378483245149916,,,,,,,plugin,MNIST,19.0,5703.160736322403,Resnet34,,,,,,,,,,,,,,,,0.0005714285714284,0.0088571428571428,0.0119220195867086,0.0119220195867086,,,,,,False,
Adam,False,-5.0,,,-4.0,1.0,384.0,0.45,0.0,0.35,2.333333333333333,0.9108175061932288,0.1959784582343639,0.99,0.9821573398215734,0.0178426601784266,0.6964551348058282,0.5,0.950828729281768,0.475,0.1494632535094963,0.5158586366592346,0.0615589377852337,0.8178079216796593,0.2516522413899047,0.4545454545454545,plugin,online,12.0,169.44658279418945,TabFTTransformer,,,,,,,,,,,,,,,,0.0078426601784266,0.0078426601784266,0.1239747223768623,0.1239747223768623,,,,,,,
Adam,True,-5.0,,,-2.0,,,,,,,0.945280437756498,0.2777339262137659,0.99,0.9945578231292516,0.0054421768707483,0.746172406040838,0.5,0.988161273754494,0.0,0.6771545827633378,0.7893744058869967,0.0460461803018146,0.7611618563336,0.2762817288940129,0.75,plugin,oxfordpets,8.0,2253.8687109947205,Resnet34,,,,,,,,,,,,,,,,0.0045578231292515,0.0183673469387755,0.1644975667691642,0.1644975667691642,,,,,,True,
SGD,False,-6.0,,,-3.0,,,,,,,0.9622028043080676,0.174794645335709,0.99,0.991237788296908,0.0087622117030919,1.6635200416850529,0.3563218390804598,0.9989109673926247,0.8828620196675752,,,,,,,plugin,SVHN,1.0,6964.5449805259705,VGG,,,,,,,,,,0.91,True,,,,,0.001237788296908,0.0028905227112498,0.0951782003247906,0.0951782003247906,False,,,,,,
Adam,False,-4.0,,,-3.0,,,,,,,0.8326073428749222,0.617191631980277,0.99,0.9925880172946264,0.0074119827053736,3.19144897278754,0.1666666666666666,0.9993262184150437,-1.0,,,,,,,plugin,stanfordcars,5.0,7970.873269319534,Resnet34,,,,,,,,,,,,,,,,0.0025880172946264,0.009975293390982,0.4060479933037813,0.4060479933037813,,,,,,False,
