optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
Adam,False,-5.0,AdamW,-4.0,-2.0,,,,,,,0.9316619490497372,0.2084312049245446,0.99,0.9892,0.0108,0.1667598704345901,0.9629629629629628,0.9858619156005548,0.9941176470588236,0.4985847149211484,0.7842426554667528,0.0539393361333118,0.7842426554667528,0.0362831157969804,0.6296296296296297,reg,catsdogs,15.0,3083.2810242176056,VGG,,,,,,,,,,,,,,,,0.0008,0.0135999999999999,0.2048098927166063,0.2048098927166063,,True,,,,,
AdamW,False,-5.0,SGD,-3.0,-3.0,,,,,,,0.8757346767422334,0.6134905576768148,0.99,0.9925,0.0074999999999999,1.0668715371726023,0.8666666666666667,0.993071656986364,0.9871913580246918,,,,,,,reg,cifar10,14.0,3253.979945421219,VGG,,,,,,,,,,,,,,0.99,False,0.0025,0.0026666666666667,0.6059429609697771,0.6059429609697771,,True,,,,,
Adam,True,-5.0,AdamW,-6.0,-3.0,2.0,320.0,0.1,1.0,0.15,0.6666666666666666,0.9449279894372926,0.1387507228851479,0.99,0.9906887886819732,0.0093112113180269,0.0975310794521854,0.9648798521256932,0.9967318972946024,-1.0,,,,,,,reg,covtype,19.0,12151.231566667557,TabFTTransformer,,,,,,,,,0.05,,,,,,,0.0006887886819731,0.0033320711851572,0.1432730890065957,0.1432730890065957,,,,,,,
Adam,False,-3.0,AdamW,-6.0,-4.0,,,,,,,0.6162151354593622,1.600172315690669,0.99,0.9903960396039604,0.0096039603960396,2.1822042501937475,0.5154639175257731,0.9899379653225446,-1.0,,,,,,,reg,food101,15.0,31911.900033712387,Resnet34,,,,,,,,,,,,,,,,0.0003960396039603,0.0062376237623762,1.5957418657296614,1.5957418657296614,,,,,,,True
Adam,True,-6.0,AdamW,-4.0,-4.0,,,,,,,0.8160442600276625,0.5041855408182229,0.99,0.9836734693877552,0.0163265306122448,0.2631444417756592,0.8333333333333334,0.8738384436014339,1.0,0.673582295988935,0.3609419031959908,0.1405177855770694,-0.050924671312158,0.0940212828494091,0.9166666666666666,reg,oxfordpets,17.0,2967.124465227127,Resnet34,,,,,,,,,,,,,,,,0.0063265306122447,0.010204081632653,0.4930938475326759,0.4930938475326759,,,,,,,True
Adam,False,-6.0,SGD,-3.0,-3.0,,,,,,,0.8623619371282922,0.3325090210109024,0.99,0.998303647158609,0.001696352841391,0.2276658043678049,1.0,0.8928583250579278,1.0,0.2251486830926083,0.4056712962508149,0.103685048917068,0.6810643472201896,0.0459685012470978,0.5,reg,waterbirds,17.0,8061.36123085022,Resnet50,,,,,,,,,,,,,,0.97,True,0.0083036471586089,0.0125954198473282,0.3271502314166052,0.3271502314166052,,,,,,,True
AdamW,False,-4.0,SGD,-5.0,-5.0,2.0,128.0,0.5,0.0,0.45,2.333333333333333,0.86030486531635,0.3033208521957997,0.99,0.9803480040941658,0.0196519959058342,0.5645676916927765,0.7083333333333334,0.9135423760698468,0.7785497177594441,0.2342869074963458,0.4579524837828386,0.0972548548322211,0.6888381094198193,0.1930350431886013,0.4895833333333333,reg,adult,5.0,711.6403367519379,TabFTTransformer,,,,,,,,,,,,,,0.92,True,0.0096519959058342,0.0299385875127942,0.2800023287132016,0.2800023287132016,,,,,,,
Adam,True,-6.0,AdamW,-6.0,-3.0,3.0,128.0,,,,,0.9380970219142162,0.2930549883728573,0.99,0.9887037037037038,0.0112962962962962,0.3887628257910869,0.9098360655737704,0.9999642202286632,-1.0,,,,,,,reg,aloi,2.0,729.9801440238953,TabResnet,,,,,512.0,4.0,0.5,0.45,,,,,,,,0.0012962962962962,0.0073148148148147,0.2730577600358135,0.2730577600358135,,,,,,,
SGD,True,-6.0,AdamW,-7.0,-1.0,4.0,256.0,,,,,0.8998438545616775,0.2053292364700771,0.99,0.9915947799159478,0.0084052200840522,0.4160462423342889,0.868421052631579,0.932630679943322,0.896551724137931,0.1159937541824671,0.3617038132691249,0.0654509940100781,0.664554472713595,0.1123006925405808,0.2368421052631578,reg,bank,11.0,845.8876278400421,TabResnet,,,,,64.0,3.0,0.45,0.3,,0.99,False,,,,,0.0015947799159478,0.0102079186020792,0.2026519042662043,0.2026519042662043,,,,,,,
SGD,True,-6.0,AdamW,-7.0,-1.0,4.0,256.0,0.1,1.0,0.35,1.6666666666666663,0.6993939393939393,0.5790382707833456,0.99,0.990990990990991,0.009009009009009,0.6290346342669859,0.6,0.7680177367433565,0.7222222222222222,0.5012121212121212,0.2148017487930232,0.1962994694521186,0.2148335839041975,0.2189977821963414,0.4,reg,compass,11.0,712.7533259391785,TabFTTransformer,,,,,,,,,0.0,0.9,False,,,,,0.0009909909909909,0.0243243243243242,0.5665911561743885,0.5665911561743885,,,,,,,
