optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
AdamW,True,-5.0,,,-5.0,3.0,128.0,0.4,0.0,0.0,1.6666666666666663,0.8557573256293851,0.3052987806486096,0.99,0.9920163766632548,0.0079836233367451,0.6445193975441423,0.6923076923076923,0.9131366337606208,0.6085714285714285,0.23607098638052,0.4556546206369966,0.0981735806923027,0.7492555183704264,0.2252213597372102,0.6410256410256411,sat,adult,12.0,2184.8153860569,TabFTTransformer,,,45.0,0.97,,,,,,,,,,,,0.0020163766632548,0.0320368474923233,0.2353437900989433,0.2353437900989433,,,,,,,
Adam,False,-5.0,,,-4.0,2.0,320.0,,,,,0.9640718562874252,0.1410905160575576,0.99,0.9896296296296296,0.0103703703703703,2.550131519722645,0.375,0.9999865289144524,-1.0,,,,,,,sat,aloi,19.0,2441.630028963089,TabResnet,,,0.0,0.93,384.0,3.0,0.5,0.5,,,,,,,,0.0003703703703703,0.0039814814814814,0.0677158683998027,0.0677158683998027,,,,,,,
Adam,True,-4.0,,,-2.0,2.0,320.0,,,,,0.9123941150245208,0.1824068598041592,0.99,0.9922583499225835,0.0077416500774164,0.7307856446562502,0.4857142857142857,0.9438050791337026,0.5599999999999999,0.1145786892554614,0.4355342892606897,0.0572685145750173,0.8325441685737214,0.268164492670482,0.4285714285714285,sat,bank,19.0,1629.4316885471344,TabResnet,,,15.0,0.93,320.0,2.0,0.45,0.15,,,,,,,,0.0022583499225835,0.0071444370714444,0.1070942765074489,0.1070942765074489,,,,,,,
Adam,True,-6.0,,,-2.0,,,,,,,0.963172804532578,0.2139207478823928,0.99,0.9884,0.0116,0.7194814916698704,0.5862068965517241,0.9929273341893556,0.6263157894736843,0.4981788749494132,0.8627077460211658,0.0343230634947085,0.8627077460211658,0.2610892520359942,0.6551724137931034,sat,catsdogs,17.0,2118.174864053726,VGG,,,45.0,0.9,,,,,,,,,,,,0.0016,0.0187999999999999,0.1155971587324679,0.1155971587324679,True,,,,,,
Adam,True,-6.0,,,-2.0,,,,,,,0.9185596500084132,0.365942267760526,0.99,0.9905,0.0094999999999999,1.9293166731983529,0.2280701754385964,0.9965304690399018,0.8065570520014964,,,,,,,sat,cifar10,19.0,1990.3907964229584,VGG,,,45.0,0.93,,,,,,,,,,,,0.0005,0.008,0.2171678582449038,0.2171678582449038,True,,,,,,
AdamW,False,-5.0,,,-5.0,2.0,128.0,0.5,0.0,0.45,2.333333333333333,0.720292504570384,0.5659376694938681,0.99,0.9855855855855856,0.0144144144144143,0.7337138600543468,0.5,0.7816905174283363,0.4714285714285715,0.5015234613040829,0.2381740120964305,0.1904563826505892,0.2381999085221575,0.2674709424123311,0.4166666666666667,sat,compass,6.0,356.1863729953766,TabFTTransformer,,,45.0,0.92,,,,,,,,,,,,0.0044144144144143,0.0183183183183183,0.5438267404271385,0.5438267404271385,,,,,,,
Adam,True,-6.0,,,-4.0,4.0,320.0,0.15,0.0,0.05,0.6666666666666666,0.9728968550616296,0.087431351145029,0.99,0.9900003442222298,0.0099996557777701,0.7269969277485059,0.6196213425129088,0.9985547897917072,0.9473432879845218,,,,,,,sat,covtype,17.0,21693.0093896389,TabFTTransformer,,,15.0,0.95,,,,,,,,,,,,3.4422222983110373e-07,0.0025747822794396,0.0442530660564169,0.0442530660564169,,,,,,,
Adam,False,-4.0,,,-4.0,1.0,512.0,,,,,0.939567087926862,0.1835155040775521,0.99,0.9917333333333334,0.0082666666666666,0.7152985647851363,0.5564516129032258,0.8267634239912331,0.6545667447306791,0.0633234740521645,0.1747361612820021,0.0489595453861258,0.8863116011496917,0.2557328045566705,0.4919354838709677,sat,giveme,2.0,1913.8992652893064,TabResnet,,,30.0,0.91,192.0,3.0,0.15,0.25,,,,,,,,0.0017333333333333,0.0017333333333333,0.1377843120357481,0.1377843120357481,,,,,,,
Adam,False,-4.0,,,-4.0,4.0,192.0,,,,,0.3881660470879802,2.5215810107736347,0.99,0.9901840490797544,0.0098159509202454,3.441997331856151,0.140625,0.925843290522079,-1.0,,,,,,,sat,helena,17.0,1239.8101570606232,TabResnet,,,30.0,0.9,128.0,2.0,0.45,0.15,,,,,,,,0.0001840490797544,0.0042944785276074,2.339430578147049,2.339430578147049,,,,,,,
AdamW,False,-5.0,,,-5.0,2.0,192.0,0.45,0.0,0.45,2.0,0.7109768378650554,0.5811957555146154,0.99,0.993,0.007,0.7177238604358653,0.4285714285714285,0.7731451056752262,0.4,0.4984894259818731,0.2195570152290311,0.1951107461927422,0.2195570152290311,0.2622209414428009,0.7142857142857143,sat,heloc,12.0,215.2174158096313,TabFTTransformer,,,45.0,0.92,,,,,,,,,,,,0.003,0.0379999999999999,0.5601052457572789,0.5601052457572789,,,,,,,
Adam,True,-5.0,,,-4.0,2.0,192.0,0.15,1.0,0.0,1.0,0.7231307209708937,0.5357985352048318,0.99,0.9916369199388068,0.0083630800611932,0.6634451910137402,0.5853658536585366,0.8049063914941956,0.6380441264162193,0.5286434228118894,0.2754592646385626,0.1805407418917159,0.2761651233641795,0.2351993865566137,0.524390243902439,sat,higgs,8.0,2014.051915884018,TabFTTransformer,,,60.0,0.99,,,,,0.1,,,,,,,0.0016369199388067,0.0106578276389596,0.509991663322752,0.509991663322752,,,,,,,
AdamW,False,-6.0,,,-3.0,1.0,384.0,0.25,1.0,0.35,1.0,0.859504132231405,0.3257026802930775,0.99,0.9866567828020756,0.0133432171979244,0.6895191216187535,0.5,0.9373687561811606,0.4861111111111111,0.4973703981968445,0.6103420703195118,0.097414482420122,0.6103420703195118,0.2482397531034472,0.6666666666666666,sat,house,13.0,193.13827681541443,TabFTTransformer,,,15.0,0.97,,,,,0.2,,,,,,,0.0033432171979244,0.018754633061527,0.2635976134895157,0.2635976134895157,,,,,,,
Adam,True,-3.0,,,-3.0,4.0,512.0,,,,,0.9724669603524227,0.1063339586683812,0.99,0.9923497267759562,0.0076502732240437,0.8247750588442955,0.7142857142857143,0.9993491042133176,-1.0,,,,,,,sat,indian,7.0,454.31606698036194,TabResnet,,,0.0,0.98,192.0,1.0,0.1,0.2,,,,,,,,0.0023497267759562,0.0256830601092896,0.0594296266641758,0.0594296266641758,,,,,,,
Adam,True,-6.0,,,-4.0,3.0,128.0,0.25,0.0,0.3,1.0,0.7828531271960647,0.4614666638830913,0.99,0.9885376866967696,0.0114623133032303,0.6888927160128073,0.5151515151515151,0.8621691500692557,0.5564814814814815,0.4994729444834856,0.3971374852326749,0.1507156286918312,0.3971374852326749,0.2481621761903713,0.5454545454545454,sat,jannis,14.0,1636.1173481941223,TabFTTransformer,,,15.0,0.94,,,,,,,,,,,,0.0014623133032304,0.0094824591872176,0.420145679300643,0.420145679300643,,,,,,,
Adam,True,-6.0,,,-4.0,4.0,256.0,0.25,0.0,0.3,1.0,0.983789260385005,0.0544482629007923,0.99,0.987,0.013,1.1378747117286474,0.6153846153846154,0.9999430090758324,-1.0,,,,,,,sat,letter,18.0,2153.337233543396,TabFTTransformer,,,15.0,0.92,,,,,,,,,,,,0.003,0.004,0.0214219565515458,0.0214219565515458,,,,,,,
Adam,True,-3.0,,,-3.0,4.0,512.0,,,,,0.939927857935627,0.1690725519809073,0.99,0.9873972602739726,0.0126027397260274,0.6138486035370516,0.6847826086956522,0.9811024214925972,0.7351684859990507,0.4995837957824639,0.8104244332569702,0.0473938916857574,0.8104244332569702,0.2124245236432322,0.532608695652174,sat,miniboone,9.0,2175.4633276462555,TabResnet,,,0.0,0.98,192.0,1.0,0.1,0.2,,,,,,,,0.0026027397260274,0.0035616438356164,0.1136932723729286,0.1136932723729286,,,,,,,
SGD,False,-5.0,,,-2.0,,,,,,,0.9907780979827088,0.0356256269419613,0.99,0.9914285714285714,0.0085714285714285,1.4730100414460747,0.5666666666666667,0.9999474826601724,0.9426924001924002,,,,,,,sat,MNIST,3.0,11096.460841178894,Resnet34,,,0.0,0.99,,,,,,0.92,False,,,,,0.0014285714285714,0.0027142857142856,0.0125767899199625,0.0125767899199625,,,,,,True,
Adam,True,-5.0,,,-4.0,2.0,192.0,0.15,1.0,0.0,1.0,0.9044481054365732,0.2160285739978449,0.99,0.9845904298459044,0.0154095701540957,0.935125134108249,0.5263157894736842,0.937723628545298,0.6222222222222222,0.1490939044481054,0.480680763268292,0.065899342355372,0.8299165763644636,0.3000193261727406,0.5263157894736842,sat,online,8.0,282.6715626716614,TabFTTransformer,,,60.0,0.99,,,,,0.1,,,,,,,0.0054095701540956,0.0185725871857259,0.1484964256861028,0.1484964256861028,,,,,,,
