optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
SGD,False,-6.0,,,-4.0,3.0,256.0,0.5,1.0,0.5,2.6666666666666665,0.8668373879641486,0.2938496101765455,0.99,0.9592630501535312,0.0407369498464688,0.6627137031038312,0.6080402010050251,0.916192496296514,0.595253231616868,0.2236448997012377,0.4651652894437454,0.0929925945454108,0.7515739404976166,0.2350335776257543,0.6080402010050251,sat_te,adult,9.0,1886.2853693962093,TabFTTransformer,,,45.0,0.9,,,,,0.0,0.95,True,-2.0,,,,0.0307369498464687,0.0447287615148412,0.2225669975919369,0.2225669975919369,,,,,,,
SGD,False,-4.0,,,-1.0,3.0,192.0,,,,,0.969824364723468,0.1215515931408459,0.99,0.9911111111111112,0.0088888888888888,2.585690446530287,0.375,0.9999876194864894,-1.0,,,,,,,sat_te,aloi,7.0,2247.4651453495026,TabResnet,,,15.0,0.91,512.0,4.0,0.1,0.25,,0.93,False,-3.0,,,,0.0011111111111111,0.0027777777777777,0.0564077029530264,0.0564077029530264,,,,,,,
Adam,True,-6.0,,,-2.0,1.0,384.0,,,,,0.9183902877697842,0.1785549575635013,0.99,0.9838531298385312,0.0161468701614686,0.712258685002302,0.5068493150684932,0.9441897547309752,0.487593984962406,0.110386690647482,0.4334362943293094,0.0556619628714751,0.8650458131253338,0.2590564079919876,0.5205479452054794,sat_te,bank,18.0,1394.7997844219208,TabResnet,,,15.0,0.94,256.0,1.0,0.3,0.05,,,,-3.0,,,,0.0061468701614687,0.0061468701614687,0.1077816031334962,0.1077816031334962,,,,,,,
SGD,False,-5.0,,,-1.0,,,,,,,0.96149169031212,0.154243795035146,0.99,0.9868,0.0131999999999999,0.6833757878584276,0.6060606060606061,0.9920582184803256,0.6115384615384616,0.4985812728009728,0.8709877232207732,0.0322530691948066,0.8709877232207732,0.2434688143100398,0.6060606060606061,sat_te,catsdogs,9.0,3981.07531952858,VGG,,,60.0,0.98,,,,,,0.96,True,-4.0,,,,0.0031999999999999,0.0031999999999999,0.0957571107881555,0.0957571107881555,True,,,,,,
SGD,False,-4.0,,,-1.0,,,,,,,0.9004547751389591,0.3184820126305249,0.99,0.9895,0.0104999999999999,1.7367276327730092,0.3015873015873015,0.9959323066981964,0.8485342935528121,,,,,,,sat_te,cifar10,16.0,5382.520880699158,VGG,,,60.0,0.98,,,,,,0.93,True,-4.0,,,,0.0004999999999999,0.0076666666666667,0.1914652477681969,0.1914652477681969,True,,,,,,
Adam,False,-6.0,,,-3.0,1.0,512.0,0.45,0.0,0.1,1.3333333333333333,0.7106382978723405,0.571627084630319,0.99,0.987987987987988,0.0120120120120119,0.7277161686093736,0.45,0.7797033581372523,0.4747474747474747,0.4996960486322188,0.2283212806959206,0.1929197052515332,0.2283057296629994,0.2668709374926925,0.55,sat_te,compass,0.0,260.85127210617065,TabFTTransformer,,,60.0,0.96,,,,,,,,-4.0,,,,0.0020120120120119,0.0231231231231231,0.5524080378812638,0.5524080378812638,,,,,,,
AdamW,False,-5.0,,,-5.0,3.0,320.0,0.0,0.0,0.1,2.333333333333333,0.9724442282298978,0.082461872552244,0.99,0.9906027331245052,0.0093972668754948,0.7110453340373187,0.6282051282051282,0.9987473775660654,0.947890198507017,,,,,,,sat_te,covtype,18.0,18431.62668967247,TabFTTransformer,,,30.0,0.98,,,,,,,,-3.0,,,,0.0006027331245052,0.0013011600289146,0.0410830335369267,0.0410830335369267,,,,,,,
Adam,True,-6.0,,,-2.0,,,,,,,0.7028514257128564,1.1992202356829085,0.99,0.9896039603960396,0.0103960396039604,3.149919118015666,0.1904761904761904,0.9945054326745216,-1.0,,,,,,,sat_te,food101,4.0,25429.89905333519,Resnet34,,,0.0,0.9,,,,,,,,-2.0,,,,0.0003960396039603,0.0053465346534653,0.942790627887465,0.942790627887465,,,,,,True,
Adam,True,-6.0,,,-4.0,2.0,384.0,,,,,0.9405387205387206,0.1826906163720483,0.99,0.99,0.01,0.6662227571315517,0.5866666666666667,0.8209058298727026,0.615475113122172,0.0618181818181818,0.1653574716772845,0.0484275002096683,0.9022434725921537,0.2367632635612241,0.5666666666666667,sat_te,giveme,16.0,2423.730971813202,TabResnet,,,0.0,0.93,256.0,2.0,0.25,0.05,,,,-4.0,,,,0.0,0.0032666666666666,0.1374235568773987,0.1374235568773987,,,,,,,
Adam,True,-6.0,,,-4.0,2.0,384.0,,,,,0.3792730085073472,2.5440585725234794,0.99,0.991564417177914,0.0084355828220858,3.531227402077458,0.1818181818181818,0.9238501388403624,-1.0,,,,,,,sat_te,helena,10.0,1035.8847436904907,TabResnet,,,15.0,0.95,256.0,2.0,0.25,0.05,,,,-4.0,,,,0.001564417177914,0.0030674846625766,2.3739454894455387,2.3739454894455387,,,,,,,
AdamW,True,-5.0,,,-3.0,2.0,384.0,0.1,1.0,0.5,2.333333333333333,0.7131230925737538,0.5780459982322392,0.99,0.983,0.017,0.6894886890930024,0.5882352941176471,0.7750546466185334,0.4423076923076923,0.5045778229908443,0.2222149401719643,0.1944462649570089,0.2222149401719643,0.2481522702498618,0.2352941176470588,sat_te,heloc,19.0,229.629510641098,TabFTTransformer,,,30.0,0.92,,,,,0.15,,,-4.0,,,,0.007,0.016,0.5590594420085678,0.5590594420085678,,,,,,,
AdamW,True,-5.0,,,-3.0,2.0,448.0,0.1,0.0,0.3,1.6666666666666663,0.720164609053498,0.5407124305864964,0.99,0.9913309535951046,0.0086690464048954,0.7212690924780053,0.4,0.8012099383048652,0.4840801886792453,0.5299382716049382,0.2660239200536335,0.1828375396352558,0.2909795914245685,0.2632012039139307,0.3764705882352941,sat_te,higgs,14.0,2391.340865135193,TabFTTransformer,,,30.0,0.98,,,,,,,,-3.0,,,,0.0013309535951046,0.0101733809280979,0.5136868655834452,0.5136868655834452,,,,,,,
Adam,False,-6.0,,,-3.0,1.0,512.0,0.45,0.0,0.1,1.3333333333333333,0.8619402985074627,0.3355062535570625,0.99,0.9933283914010378,0.0066716085989622,0.7289538458552971,0.3333333333333333,0.9300386953625712,0.5,0.4977611940298507,0.5868157386783177,0.1032960653304205,0.5868157386783177,0.2678354521349541,0.7777777777777778,sat_te,house,0.0,214.3679084777832,TabFTTransformer,,,60.0,0.96,,,,,,,,-4.0,,,,0.0033283914010378,0.0116011860637509,0.2771789499190385,0.2771789499190385,,,,,,,
Adam,True,-6.0,,,-3.0,2.0,384.0,,,,,0.9724972497249724,0.101226137134109,0.99,0.9934426229508196,0.0065573770491803,1.1474447015541835,0.6666666666666666,0.9995112011320214,-1.0,,,,,,,sat_te,indian,13.0,332.09159088134766,TabResnet,,,0.0,0.94,256.0,1.0,0.3,0.05,,,,-3.0,,,,0.0034426229508196,0.0188524590163934,0.0389812287205622,0.0389812287205622,,,,,,,
AdamW,True,-6.0,,,-3.0,3.0,448.0,0.1,0.0,0.25,2.0,0.7881445106980007,0.4545466200831258,0.99,0.9902744008336228,0.0097255991663771,0.6678608696775947,0.5535714285714286,0.8644238472713244,0.6490322580645161,0.4994738688179586,0.4078184267557275,0.1480453933110681,0.4078184267557275,0.2376773126942942,0.5535714285714286,sat_te,jannis,13.0,2877.191342115402,TabFTTransformer,,,30.0,0.97,,,,,,,,-4.0,,,,0.0002744008336228,0.0026571726293851,0.4127986341438364,0.4127986341438364,,,,,,,
AdamW,False,-5.0,,,-5.0,3.0,384.0,0.0,0.0,0.0,2.6666666666666665,0.9858870967741936,0.0610211411426162,0.99,0.992,0.008,1.4058161142678742,0.5,0.9999424342425568,-1.0,,,,,,,sat_te,letter,17.0,1648.1086430549622,TabFTTransformer,,,30.0,0.96,,,,,,,,-3.0,,,,0.002,0.002,0.0220869535583855,0.0220869535583855,,,,,,,
Adam,True,-6.0,,,-2.0,1.0,384.0,,,,,0.9393351800554016,0.1694114438465368,0.99,0.989041095890411,0.0109589041095889,0.6336194005555393,0.6625,0.9813393338029944,0.6989314896291641,0.499584487534626,0.8125166507355629,0.0468708373161092,0.8125166507355629,0.2215042012480753,0.5375,sat_te,miniboone,16.0,1386.6312901973724,TabResnet,,,15.0,0.94,256.0,1.0,0.3,0.05,,,,-3.0,,,,0.0009589041095889,0.0016438356164383,0.1122932451685732,0.1122932451685732,,,,,,,
SGD,False,-5.0,,,-1.0,,,,,,,0.9917510853835022,0.0445629695678602,0.99,0.9871428571428572,0.0128571428571429,1.0670807396487278,0.6888888888888889,0.9999418333646516,-1.0,,,,,,,sat_te,MNIST,9.0,11985.97398495674,Resnet34,,,60.0,0.98,,,,,,0.96,True,-4.0,,,,0.0028571428571427,0.0048571428571428,0.0207104690685259,0.0207104690685259,,,,,,True,
Adam,False,-6.0,,,-4.0,1.0,512.0,0.45,0.0,0.1,1.3333333333333333,0.9065573770491804,0.2076956679168368,0.99,0.989456609894566,0.0105433901054339,0.7963802535924996,0.4615384615384615,0.9442120381250816,0.3333333333333333,0.151639344262295,0.4999066169938773,0.0643389319851562,0.8122639886331026,0.2946863875773614,0.4615384615384615,sat_te,online,18.0,190.5711028575897,TabFTTransformer,,,60.0,0.96,,,,,,,,-4.0,,,,0.000543390105434,0.0049472830494727,0.1387048245218019,0.1387048245218019,,,,,,,
Adam,True,-6.0,,,-4.0,,,,,,,0.9608898821617228,0.1705432032831159,0.99,0.991439218451002,0.0085607815489978,1.7515520544171927,0.4235294117647059,0.9987606541876412,0.8400185147010544,,,,,,,sat_te,SVHN,5.0,9500.39430475235,VGG,,,0.0,0.93,,,,,,,,-4.0,,,,0.001439218451002,0.0014402256017725,0.0988529882689705,0.0988529882689705,False,,,,,,
Adam,False,-4.0,,,-3.0,,,,,,,0.8357187305538271,0.6103214664894181,0.99,0.9925880172946264,0.0074119827053736,4.029402102970638,0.1666666666666666,0.9994020165139011,-1.0,,,,,,,sat_te,stanfordcars,17.0,8274.759892463684,Resnet34,,,15.0,0.98,,,,,,,,-3.0,,,,0.0025880172946264,0.0104076590487955,0.415932409029077,0.415932409029077,,,,,,False,
AdamW,False,-6.0,,,-5.0,2.0,512.0,,,,,0.8213925327951564,0.4299930992059906,0.99,0.991,0.009,0.6441468527732205,0.5185185185185185,0.7760588098943673,0.6428571428571428,0.2186343760511268,0.2088373304416896,0.1351620707756054,0.6002011520969173,0.227275493828748,0.5185185185185185,sat_te,ucicredit,8.0,943.886559009552,TabResnet,,,60.0,0.92,128.0,3.0,0.4,0.1,,,,-3.0,,,,0.001,0.0056666666666665,0.3912817773332162,0.3912817773332162,,,,,,,
