optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
AdamW,False,-4.0,SGD,-3.0,-3.0,,,,,,,0.9378029079159936,0.2641531447380184,0.99,0.9904,0.0096,0.0769325482617159,0.9583333333333334,0.9879351023209808,1.0,0.5016155088852988,0.7885280643087494,0.0528679839228126,0.7885280643087494,0.028994267075746,0.3333333333333333,sele,catsdogs,18.0,3025.733188152313,VGG,,,,,,,,,,,,,,0.95,True,0.0003999999999999,0.018,0.2587124842119004,0.2587124842119004,,True,,,,,
AdamW,False,-5.0,SGD,-3.0,-3.0,,,,,,,0.8761506276150628,0.6129757128570158,0.99,0.9958333333333332,0.0041666666666666,1.5526242327012048,0.76,0.993053520177164,-1.0,,,,,,,sele,cifar10,16.0,3354.4917979240417,VGG,,,,,,,,,,,,,,0.99,True,0.0058333333333332,0.0123333333333334,0.5689984156623074,0.5689984156623074,,True,,,,,
SGD,True,-6.0,AdamW,-7.0,-1.0,4.0,256.0,0.05,1.0,0.35,1.3333333333333333,0.9308713274305496,0.1736945263632588,0.99,0.989415166431448,0.0105848335685518,0.310017641351423,0.8585365853658536,0.9947379457674232,0.9851222893818312,,,,,,,sele,covtype,10.0,17141.160333156586,TabFTTransformer,,,,,,,,,0.0,0.9,False,,,,,0.0005848335685519,0.0005848335685519,0.1635712161039008,0.1635712161039008,,,,,,,
Adam,False,-4.0,AdamW,-4.0,-3.0,,,,,,,0.6029940119760479,1.6641537742374883,0.99,0.992079207920792,0.0079207920792079,3.981363641925248,0.2625,0.9897754022622672,-1.0,,,,,,,sele,food101,19.0,30182.89315509796,Resnet34,,,,,,,,,,,,,,,,0.0020792079207919,0.0064356435643564,1.5438042321749406,1.5438042321749406,,,,,,,False
Adam,True,-6.0,AdamW,-7.0,-4.0,,,,,,,0.8162983425414365,0.5037961699991949,0.99,0.9850340136054422,0.0149659863945578,0.2668592939514494,0.8181818181818182,0.8743589743589744,0.9583333333333334,0.6767955801104972,0.3573590726758676,0.1405735451781457,0.3001042864205177,0.0861243324942338,0.7272727272727273,sele,oxfordpets,17.0,3058.414029359817,Resnet34,,,,,,,,,,,,,,,,0.0049659863945578,0.0170068027210883,0.4903976448161303,0.4903976448161303,,,,,,,True
Adam,False,-6.0,SGD,-4.0,-4.0,,,,,,,0.85,0.3517178030856169,0.99,0.9838846480067854,0.0161153519932145,0.3996465813045973,0.8947368421052632,0.8828203437741037,0.9444444444444444,0.221551724137931,0.3840897310405146,0.1062359011965699,0.6580470181260025,0.1247465963988716,0.4736842105263157,sele,waterbirds,7.0,7671.579995393753,Resnet50,,,,,,,,,,,,,,0.93,True,0.0061153519932145,0.0163698049194231,0.3177195737277505,0.3177195737277505,,,,,,,True
SGD,True,-6.0,AdamW,-7.0,-3.0,4.0,256.0,0.05,1.0,0.4,1.6666666666666663,0.8595797794882463,0.3047402638333544,0.99,0.9840327533265096,0.0159672466734902,0.5602192391128715,0.6794871794871795,0.9131849436007228,0.8082010582010581,0.2356979405034324,0.4599338714983986,0.0972967480140029,0.673423001189537,0.1949677102539473,0.4615384615384615,sele,adult,4.0,1204.682629108429,TabFTTransformer,,,,,,,,,0.1,0.93,True,,,,,0.0059672466734903,0.0475435005117707,0.2544931744975561,0.2544931744975561,,,,,,,
AdamW,False,-5.0,SGD,-3.0,-4.0,1.0,64.0,,,,,0.9363390273499488,0.3087181886673639,0.99,0.9919444444444444,0.0080555555555555,2.0914632185961928,0.6781609195402298,0.9999614753258192,-1.0,,,,,,,sele,aloi,15.0,545.7317085266113,TabResnet,,,,,512.0,3.0,0.4,0.15,,,,,,0.92,True,0.0019444444444444,0.002037037037037,0.2012167956626939,0.2012167956626939,,,,,,,
Adam,True,-3.0,Adam,-3.0,-2.0,2.0,64.0,,,,,0.910391061452514,0.196003891403216,0.99,0.9898252598982528,0.0101747401017473,0.6600247710726476,0.6086956521739131,0.9311441482494114,0.7352380952380952,0.1126256983240223,0.3926824758164849,0.060707487870573,0.8588252719824239,0.2277349769546477,0.5434782608695652,sele,bank,15.0,721.0005774497986,TabResnet,,,,,128.0,2.0,0.4,0.45,,,,,,,,0.0001747401017472,0.001581508515815,0.1234630074038786,0.1234630074038786,,,,,,,
SGD,False,-3.0,AdamW,-5.0,-4.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.7082066869300911,0.5758215415864371,0.99,0.987987987987988,0.0120120120120119,0.6809355290266451,0.55,0.7759983680806026,0.595959595959596,0.5009118541033435,0.2230209634845895,0.194244690121555,0.2230368099144866,0.2439436920954211,0.45,sele,compass,8.0,568.2522103786469,TabFTTransformer,,,,,,,,,0.0,0.96,True,,,,,0.0020120120120119,0.0225225225225225,0.5606289172748752,0.5606289172748752,,,,,,,
