optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
AdamW,True,-6.0,,,-5.0,3.0,192.0,0.4,0.0,0.0,2.0,0.864417568427753,0.2935221865355517,0.99,0.964790174002047,0.0352098259979529,0.6580847936338206,0.627906976744186,0.9157844817587856,0.5676100628930818,0.2255463611287927,0.4636996831934801,0.0937792059220712,0.752315396515365,0.2325770096908779,0.6162790697674418,selnet,adult,18.0,907.6117649078368,TabFTTransformer,5.0,0.65,,,,,,,,,,,,,,0.0252098259979529,0.044933469805527,0.2194195481136075,0.2194195481136075,,,,,,,
Adam,False,-5.0,,,-4.0,4.0,128.0,,,,,0.954481858035631,0.1717932756802677,0.99,0.9926851851851852,0.0073148148148147,2.464813465366809,0.5063291139240507,0.99998188237819,-1.0,,,,,,,selnet,aloi,14.0,794.6456582546234,TabResnet,5.0,0.25,,,128.0,2.0,0.5,0.05,,,,,,,,0.0026851851851852,0.0142592592592593,0.1396180640820842,0.1396180640820842,,,,,,,
Adam,True,-3.0,,,-3.0,4.0,512.0,,,,,0.9102421684070208,0.1905145763442555,0.99,0.995576199955762,0.004423800044238,0.5325352629352843,0.8,0.9397196852538104,0.7912087912087912,0.1146411908464785,0.4074216852757176,0.0601490834154793,0.8824336426534278,0.1785285602347208,0.65,selnet,bank,7.0,959.7732591629028,TabResnet,3.0,0.7,,,192.0,1.0,0.1,0.2,,,,,,,,0.0055761999557619,0.0055761999557619,0.1147354164019663,0.1147354164019663,,,,,,,
Adam,True,-6.0,,,-2.0,,,,,,,0.928341384863124,0.4456986203609558,0.99,0.9936,0.0063999999999999,0.6465977796826811,0.6875,0.9836449173704804,0.5625,0.4983896940418679,0.740870594382227,0.0647823514044432,0.740870594382227,0.227959039814092,0.75,selnet,catsdogs,12.0,2185.618233919144,VGG,5.0,0.25,,,,,,,,,,,,,,0.0036,0.0171999999999999,0.2528664710563225,0.2528664710563225,True,,,,,,
Adam,False,-6.0,,,-3.0,,,,,,,0.9186514592418652,0.3301794788189387,0.99,0.9936666666666668,0.0063333333333333,2.0628300805362336,0.4210526315789473,0.9967676773749488,0.8059166666666668,,,,,,,selnet,cifar10,0.0,2544.9250643253326,VGG,3.0,0.7,,,,,,,,,,,,,,0.0036666666666668,0.0201666666666666,0.2031381801115787,0.2031381801115787,True,,,,,,
Adam,True,-5.0,,,-4.0,2.0,192.0,0.15,1.0,0.0,1.0,0.7178247734138973,0.5636371839916512,0.99,0.993993993993994,0.0060060060060059,0.7309664901521228,0.3,0.784488197255665,0.2399999999999999,0.5003021148036254,0.2426462851941052,0.1893384076854013,0.2426463768547028,0.2688438608100485,0.5,selnet,compass,8.0,420.0620868206024,TabFTTransformer,6.0,0.75,,,,,,,0.1,,,,,,,0.003993993993994,0.003993993993994,0.5459804597099801,0.5459804597099801,,,,,,,
Adam,True,-6.0,,,-4.0,3.0,384.0,0.1,0.0,0.0,0.6666666666666666,0.973198777183353,0.0811095289241375,0.99,0.9908781109084024,0.0091218890915975,0.5685092449882636,0.7716981132075472,0.9987159792479388,-1.0,,,,,,,selnet,covtype,17.0,14086.564660787582,TabFTTransformer,4.0,0.25,,,,,,,,,,,,,,0.0008781109084023,0.0056159856803552,0.0410294158967168,0.0410294158967168,,,,,,,
SGD,True,-4.0,,,-1.0,,,,,,,0.6749502982107356,1.2812268501869546,0.99,0.996039603960396,0.0039603960396039,4.114632206535898,0.225,0.993341392534798,-1.0,,,,,,,selnet,food101,1.0,25388.93025445938,Resnet34,5.0,0.5,,,,,,,,0.9,False,,,,,0.006039603960396,0.0421782178217822,1.1001583146163,1.1001583146163,,,,,,False,
Adam,True,-3.0,,,-3.0,4.0,512.0,,,,,0.9397760992716482,0.182508965068751,0.99,0.9885333333333334,0.0114666666666666,0.6829011837264349,0.5930232558139535,0.81874601795424,0.4977575231481482,0.0603587806851901,0.1452321331785986,0.0485145026821421,0.9115414657830772,0.2448078320017927,0.627906976744186,selnet,giveme,7.0,1095.4360074996948,TabResnet,3.0,0.7,,,192.0,1.0,0.1,0.2,,,,,,,,0.0014666666666666,0.0017333333333332,0.1362792656588165,0.1362792656588165,,,,,,,
Adam,False,-4.0,,,-4.0,4.0,128.0,,,,,0.3886821705426356,2.507380761528738,0.99,0.9892638036809815,0.0107361963190184,4.176773070563249,0.0285714285714285,0.9261885208553728,-1.0,,,,,,,selnet,helena,9.0,500.5052027702332,TabResnet,5.0,0.25,,,128.0,2.0,0.5,0.1,,,,,,,,0.0007361963190184,0.0076687116564416,2.2869053235095778,2.2869053235095778,,,,,,,
