optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
AdamW,True,-5.0,,,-2.0,2.0,384.0,0.15,1.0,0.5,2.333333333333333,0.8305675066584717,0.3592329793629938,0.99,0.9991811668372568,0.0008188331627431,0.7000548183660846,0.25,0.8784619118747056,0.25,0.2390903503380455,0.3653599265560934,0.115457646192199,0.6369096379222883,0.2534535176596124,0.5,selnet_te,adult,2.0,734.9651942253113,TabFTTransformer,4.0,0.25,,,,,,,0.0,,,-4.0,,,,0.0091811668372567,0.0295803480040941,0.2865288074072977,0.2865288074072977,,,,,,,
SGD,False,-5.0,,,-1.0,4.0,320.0,,,,,0.9667289719626168,0.1508239794791762,0.99,0.9907407407407408,0.0092592592592593,1.4834472977259006,0.57,0.999983753940416,-1.0,,,,,,,selnet_te,aloi,10.0,632.490476846695,TabResnet,6.0,0.65,,,384.0,3.0,0.15,0.05,,0.99,False,-4.0,,,,0.0007407407407408,0.0187962962962963,0.1254128460593798,0.1254128460593798,,,,,,,
Adam,True,-6.0,,,-3.0,1.0,320.0,,,,,0.9138702460850112,0.1908615234380362,0.99,0.9887193098871933,0.0112806901128068,0.653407202729114,0.6274509803921569,0.9379738884538809,0.6599378881987578,0.1120805369127516,0.4070189372074247,0.0590267717189024,0.8640755613107791,0.231522323911875,0.5490196078431373,selnet_te,bank,15.0,629.0527617931366,TabResnet,4.0,0.55,,,320.0,1.0,0.3,0.05,,,,-4.0,,,,0.0012806901128067,0.0052753815527537,0.113896361948096,0.113896361948096,,,,,,,
Adam,False,-6.0,,,-3.0,,,,,,,0.9329047810365608,0.1928977180786824,0.99,0.9956,0.0043999999999999,0.6504220075997162,0.7272727272727273,0.9820701722668458,0.3,0.4981920449979911,0.7880001343995667,0.0529999664001083,0.7880001343995667,0.2289452684615147,0.9090909090909092,selnet_te,catsdogs,11.0,1976.226675033569,VGG,4.0,0.65,,,,,,,,,,-4.0,,,,0.0056,0.0215999999999999,0.1163217645790416,0.1163217645790416,False,,,,,,
SGD,True,-3.0,,,-2.0,,,,,,,0.9341729638958858,0.3004256569728549,0.99,0.9925,0.0074999999999999,1.5872371717656475,0.4222222222222222,0.9972811338244262,-1.0,,,,,,,selnet_te,cifar10,19.0,2377.7978699207306,VGG,5.0,0.5,,,,,,,,0.99,True,-3.0,,,,0.0025,0.013,0.157156093445467,0.157156093445467,True,,,,,,
AdamW,True,-6.0,,,-3.0,3.0,448.0,0.15,0.0,0.3,2.0,0.7146311970979444,0.5665521984888912,0.99,0.9933933933933934,0.0066066066066066,0.7006293770723663,0.5454545454545454,0.7839468716782005,0.4,0.5,0.2400670275781817,0.1899832450109993,0.2400531896066285,0.2537246384462153,0.5454545454545454,selnet_te,compass,19.0,605.2700324058533,TabFTTransformer,4.0,0.75,,,,,,,,,,-4.0,,,,0.0033933933933933,0.0153153153153152,0.5413438589071264,0.5413438589071264,,,,,,,
AdamW,False,-5.0,,,-5.0,3.0,320.0,0.05,0.0,0.1,2.333333333333333,0.969736476150744,0.0859213327267546,0.99,0.9901208220026848,0.009879177997315,0.6034669822614581,0.7613240418118467,0.998420657483424,-1.0,,,,,,,selnet_te,covtype,10.0,18596.381105184555,TabFTTransformer,4.0,0.6000000000000001,,,,,,,,,,-3.0,,,,0.0001208220026848,0.0042218856493753,0.0445861149828453,0.0445861149828453,,,,,,,
Adam,True,-6.0,,,-4.0,,,,,,,0.6542951212211913,1.3398258915662853,0.99,0.9923762376237624,0.0076237623762376,4.11703003130057,0.1688311688311688,0.9927232203001708,-1.0,,,,,,,selnet_te,food101,5.0,25994.491265296936,Resnet34,3.0,0.4,,,,,,,,,,-4.0,,,,0.0023762376237623,0.0239603960396039,1.1486483203289382,1.1486483203289382,,,,,,False,
Adam,True,-6.0,,,-3.0,1.0,384.0,,,,,0.9402309718376444,0.1827458284939518,0.99,0.9871333333333332,0.0128666666666666,0.7851312854337505,0.4093264248704663,0.819119805232671,0.4690998656515897,0.05990409941244,0.1371350691014418,0.0486341846643319,0.9073924658476552,0.2938730663054545,0.6010362694300518,selnet_te,giveme,11.0,810.952817440033,TabResnet,4.0,0.45,,,256.0,1.0,0.25,0.05,,,,-4.0,,,,0.0028666666666667,0.0028666666666667,0.1369016571107673,0.1369016571107673,,,,,,,
Adam,True,-6.0,,,-3.0,2.0,448.0,,,,,0.39100077579519,2.556228581417749,0.99,0.9884969325153374,0.0115030674846625,4.164216906375159,0.0666666666666666,0.9214567280285896,-1.0,,,,,,,selnet_te,helena,15.0,423.7536425590515,TabResnet,3.0,0.5,,,192.0,1.0,0.25,0.05,,,,-4.0,,,,0.0015030674846625,0.0105828220858895,2.3334618957737496,2.3334618957737496,,,,,,,
